year,week,loc,state,country,loc_type,number,event
1980,1,NEW YORK CITY,NY,US,STATE,1,CASES
1980,1,MICHIGAN,MI,US,STATE,2,CASES
1980,1,WISCONSIN,WI,US,STATE,10,CASES
1980,1,IOWA,IA,US,STATE,1,CASES
1980,1,NEBRASKA,NE,US,STATE,1,CASES
1980,1,KENTUCKY,KY,US,STATE,2,CASES
1980,1,TEXAS,TX,US,STATE,1,CASES
1980,1,NEVADA,NV,US,STATE,1,CASES
1980,1,CALIFORNIA,CA,US,STATE,5,CASES
1980,1,HAWAII,HI,US,STATE,2,CASES
1980,2,VERMONT,VT,US,STATE,4,CASES
1980,2,NEW YORK CITY,NY,US,STATE,6,CASES
1980,2,MICHIGAN,MI,US,STATE,8,CASES
1980,2,WISCONSIN,WI,US,STATE,1,CASES
1980,2,WEST VIRGINIA,WV,US,STATE,1,CASES
1980,2,FLORIDA,FL,US,STATE,1,CASES
1980,2,KENTUCKY,KY,US,STATE,1,CASES
1980,2,TEXAS,TX,US,STATE,1,CASES
1980,2,ARIZONA,AZ,US,STATE,1,CASES
1980,2,NEVADA,NV,US,STATE,2,CASES
1980,2,WASHINGTON,WA,US,STATE,1,CASES
1980,2,CALIFORNIA,CA,US,STATE,17,CASES
1980,3,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1980,3,VERMONT,VT,US,STATE,6,CASES
1980,3,RHODE ISLAND,RI,US,STATE,1,CASES
1980,3,UPSTATE NEW YORK,NY,US,STATE,6,CASES
1980,3,NEW YORK CITY,NY,US,STATE,11,CASES
1980,3,OHIO,OH,US,STATE,2,CASES
1980,3,INDIANA,IN,US,STATE,1,CASES
1980,3,ILLINOIS,IL,US,STATE,1,CASES
1980,3,MICHIGAN,MI,US,STATE,5,CASES
1980,3,WISCONSIN,WI,US,STATE,5,CASES
1980,3,MINNESOTA,MN,US,STATE,8,CASES
1980,3,NEBRASKA,NE,US,STATE,1,CASES
1980,3,VIRGINIA,VA,US,STATE,1,CASES
1980,3,NORTH CAROLINA,NC,US,STATE,1,CASES
1980,3,FLORIDA,FL,US,STATE,8,CASES
1980,3,KENTUCKY,KY,US,STATE,5,CASES
1980,3,MISSISSIPPI,MS,US,STATE,1,CASES
1980,3,ARIZONA,AZ,US,STATE,8,CASES
1980,3,CALIFORNIA,CA,US,STATE,6,CASES
1980,4,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1980,4,VERMONT,VT,US,STATE,6,CASES
1980,4,UPSTATE NEW YORK,NY,US,STATE,3,CASES
1980,4,NEW YORK CITY,NY,US,STATE,7,CASES
1980,4,OHIO,OH,US,STATE,6,CASES
1980,4,ILLINOIS,IL,US,STATE,2,CASES
1980,4,MICHIGAN,MI,US,STATE,5,CASES
1980,4,WISCONSIN,WI,US,STATE,7,CASES
1980,4,MINNESOTA,MN,US,STATE,10,CASES
1980,4,MISSOURI,MO,US,STATE,1,CASES
1980,4,VIRGINIA,VA,US,STATE,11,CASES
1980,4,WEST VIRGINIA,WV,US,STATE,2,CASES
1980,4,GEORGIA,GA,US,STATE,73,CASES
1980,4,FLORIDA,FL,US,STATE,10,CASES
1980,4,KENTUCKY,KY,US,STATE,9,CASES
1980,4,TENNESSEE,TN,US,STATE,1,CASES
1980,4,ALABAMA,AL,US,STATE,6,CASES
1980,4,OKLAHOMA,OK,US,STATE,1,CASES
1980,4,TEXAS,TX,US,STATE,1,CASES
1980,4,UTAH,UT,US,STATE,9,CASES
1980,4,WASHINGTON,WA,US,STATE,9,CASES
1980,4,CALIFORNIA,CA,US,STATE,9,CASES
1980,4,PUERTO RICO,PR,US,STATE,1,CASES
1980,5,VERMONT,VT,US,STATE,1,CASES
1980,5,CONNECTICUT,CT,US,STATE,1,CASES
1980,5,UPSTATE NEW YORK,NY,US,STATE,22,CASES
1980,5,NEW YORK CITY,NY,US,STATE,4,CASES
1980,5,NEW JERSEY,NJ,US,STATE,14,CASES
1980,5,PENNSYLVANIA,PA,US,STATE,34,CASES
1980,5,INDIANA,IN,US,STATE,1,CASES
1980,5,ILLINOIS,IL,US,STATE,4,CASES
1980,5,MICHIGAN,MI,US,STATE,2,CASES
1980,5,WISCONSIN,WI,US,STATE,8,CASES
1980,5,MINNESOTA,MN,US,STATE,12,CASES
1980,5,MISSOURI,MO,US,STATE,1,CASES
1980,5,VIRGINIA,VA,US,STATE,10,CASES
1980,5,SOUTH CAROLINA,SC,US,STATE,1,CASES
1980,5,GEORGIA,GA,US,STATE,30,CASES
1980,5,FLORIDA,FL,US,STATE,11,CASES
1980,5,KENTUCKY,KY,US,STATE,2,CASES
1980,5,TENNESSEE,TN,US,STATE,1,CASES
1980,5,TEXAS,TX,US,STATE,7,CASES
1980,5,COLORADO,CO,US,STATE,1,CASES
1980,5,UTAH,UT,US,STATE,3,CASES
1980,5,NEVADA,NV,US,STATE,1,CASES
1980,5,WASHINGTON,WA,US,STATE,1,CASES
1980,5,CALIFORNIA,CA,US,STATE,15,CASES
1980,6,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1980,6,VERMONT,VT,US,STATE,3,CASES
1980,6,UPSTATE NEW YORK,NY,US,STATE,11,CASES
1980,6,NEW YORK CITY,NY,US,STATE,13,CASES
1980,6,INDIANA,IN,US,STATE,4,CASES
1980,6,ILLINOIS,IL,US,STATE,4,CASES
1980,6,WISCONSIN,WI,US,STATE,14,CASES
1980,6,MINNESOTA,MN,US,STATE,23,CASES
1980,6,VIRGINIA,VA,US,STATE,1,CASES
1980,6,GEORGIA,GA,US,STATE,30,CASES
1980,6,FLORIDA,FL,US,STATE,13,CASES
1980,6,KENTUCKY,KY,US,STATE,6,CASES
1980,6,ARKANSAS,AR,US,STATE,1,CASES
1980,6,TEXAS,TX,US,STATE,7,CASES
1980,6,ARIZONA,AZ,US,STATE,1,CASES
1980,6,WASHINGTON,WA,US,STATE,4,CASES
1980,6,PUERTO RICO,PR,US,STATE,2,CASES
1980,7,NEW HAMPSHIRE,NH,US,STATE,31,CASES
1980,7,VERMONT,VT,US,STATE,3,CASES
1980,7,UPSTATE NEW YORK,NY,US,STATE,9,CASES
1980,7,NEW YORK CITY,NY,US,STATE,6,CASES
1980,7,PENNSYLVANIA,PA,US,STATE,47,CASES
1980,7,OHIO,OH,US,STATE,10,CASES
1980,7,MICHIGAN,MI,US,STATE,7,CASES
1980,7,WISCONSIN,WI,US,STATE,7,CASES
1980,7,MINNESOTA,MN,US,STATE,16,CASES
1980,7,IOWA,IA,US,STATE,1,CASES
1980,7,MISSOURI,MO,US,STATE,1,CASES
1980,7,KANSAS,KS,US,STATE,5,CASES
1980,7,VIRGINIA,VA,US,STATE,26,CASES
1980,7,GEORGIA,GA,US,STATE,33,CASES
1980,7,FLORIDA,FL,US,STATE,6,CASES
1980,7,KENTUCKY,KY,US,STATE,3,CASES
1980,7,TENNESSEE,TN,US,STATE,1,CASES
1980,7,LOUISIANA,LA,US,STATE,5,CASES
1980,7,TEXAS,TX,US,STATE,19,CASES
1980,7,UTAH,UT,US,STATE,2,CASES
1980,7,PUERTO RICO,PR,US,STATE,5,CASES
1980,8,NEW HAMPSHIRE,NH,US,STATE,2,CASES
1980,8,VERMONT,VT,US,STATE,4,CASES
1980,8,UPSTATE NEW YORK,NY,US,STATE,15,CASES
1980,8,NEW YORK CITY,NY,US,STATE,3,CASES
1980,8,INDIANA,IN,US,STATE,5,CASES
1980,8,ILLINOIS,IL,US,STATE,11,CASES
1980,8,MICHIGAN,MI,US,STATE,17,CASES
1980,8,WISCONSIN,WI,US,STATE,4,CASES
1980,8,MINNESOTA,MN,US,STATE,15,CASES
1980,8,MISSOURI,MO,US,STATE,4,CASES
1980,8,NEBRASKA,NE,US,STATE,1,CASES
1980,8,KANSAS,KS,US,STATE,6,CASES
1980,8,DELAWARE,DE,US,STATE,1,CASES
1980,8,VIRGINIA,VA,US,STATE,20,CASES
1980,8,GEORGIA,GA,US,STATE,8,CASES
1980,8,FLORIDA,FL,US,STATE,17,CASES
1980,8,TENNESSEE,TN,US,STATE,1,CASES
1980,8,ALABAMA,AL,US,STATE,6,CASES
1980,8,LOUISIANA,LA,US,STATE,1,CASES
1980,8,TEXAS,TX,US,STATE,14,CASES
1980,8,UTAH,UT,US,STATE,2,CASES
1980,8,WASHINGTON,WA,US,STATE,3,CASES
1980,8,CALIFORNIA,CA,US,STATE,5,CASES
1980,8,PUERTO RICO,PR,US,STATE,2,CASES
1980,9,NEW HAMPSHIRE,NH,US,STATE,23,CASES
1980,9,VERMONT,VT,US,STATE,19,CASES
1980,9,UPSTATE NEW YORK,NY,US,STATE,12,CASES
1980,9,NEW YORK CITY,NY,US,STATE,23,CASES
1980,9,NEW JERSEY,NJ,US,STATE,9,CASES
1980,9,PENNSYLVANIA,PA,US,STATE,16,CASES
1980,9,INDIANA,IN,US,STATE,3,CASES
1980,9,ILLINOIS,IL,US,STATE,9,CASES
1980,9,MICHIGAN,MI,US,STATE,11,CASES
1980,9,WISCONSIN,WI,US,STATE,4,CASES
1980,9,MINNESOTA,MN,US,STATE,47,CASES
1980,9,MISSOURI,MO,US,STATE,12,CASES
1980,9,KANSAS,KS,US,STATE,7,CASES
1980,9,MARYLAND,MD,US,STATE,9,CASES
1980,9,VIRGINIA,VA,US,STATE,7,CASES
1980,9,WEST VIRGINIA,WV,US,STATE,1,CASES
1980,9,NORTH CAROLINA,NC,US,STATE,28,CASES
1980,9,GEORGIA,GA,US,STATE,16,CASES
1980,9,FLORIDA,FL,US,STATE,12,CASES
1980,9,KENTUCKY,KY,US,STATE,1,CASES
1980,9,TENNESSEE,TN,US,STATE,2,CASES
1980,9,ARKANSAS,AR,US,STATE,1,CASES
1980,9,TEXAS,TX,US,STATE,1,CASES
1980,9,ARIZONA,AZ,US,STATE,2,CASES
1980,9,WASHINGTON,WA,US,STATE,3,CASES
1980,9,CALIFORNIA,CA,US,STATE,9,CASES
1980,9,HAWAII,HI,US,STATE,1,CASES
1980,9,PUERTO RICO,PR,US,STATE,2,CASES
1980,9,VIRGIN ISLANDS,VI,US,STATE,3,CASES
1980,10,MAINE,ME,US,STATE,1,CASES
1980,10,NEW HAMPSHIRE,NH,US,STATE,4,CASES
1980,10,VERMONT,VT,US,STATE,23,CASES
1980,10,RHODE ISLAND,RI,US,STATE,1,CASES
1980,10,UPSTATE NEW YORK,NY,US,STATE,39,CASES
1980,10,NEW YORK CITY,NY,US,STATE,7,CASES
1980,10,NEW JERSEY,NJ,US,STATE,36,CASES
1980,10,PENNSYLVANIA,PA,US,STATE,39,CASES
1980,10,INDIANA,IN,US,STATE,1,CASES
1980,10,ILLINOIS,IL,US,STATE,2,CASES
1980,10,MICHIGAN,MI,US,STATE,9,CASES
1980,10,WISCONSIN,WI,US,STATE,6,CASES
1980,10,MINNESOTA,MN,US,STATE,23,CASES
1980,10,NEBRASKA,NE,US,STATE,3,CASES
1980,10,KANSAS,KS,US,STATE,13,CASES
1980,10,VIRGINIA,VA,US,STATE,13,CASES
1980,10,WEST VIRGINIA,WV,US,STATE,4,CASES
1980,10,GEORGIA,GA,US,STATE,1,CASES
1980,10,FLORIDA,FL,US,STATE,13,CASES
1980,10,KENTUCKY,KY,US,STATE,1,CASES
1980,10,OKLAHOMA,OK,US,STATE,6,CASES
1980,10,TEXAS,TX,US,STATE,8,CASES
1980,10,MONTANA,MT,US,STATE,1,CASES
1980,10,ARIZONA,AZ,US,STATE,3,CASES
1980,10,UTAH,UT,US,STATE,3,CASES
1980,10,CALIFORNIA,CA,US,STATE,9,CASES
1980,10,ALASKA,AK,US,STATE,2,CASES
1980,10,PUERTO RICO,PR,US,STATE,4,CASES
1980,10,VIRGIN ISLANDS,VI,US,STATE,1,CASES
